scene_id,date,cog_url,avg_cloud_pct,total_tiles,bounds_min_x,bounds_min_y,bounds_max_x,bounds_max_y
2025-06-16t102041,2025-06-16,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-06-16t102041/swisseo_s2-sr_v200_mosaic_2025-06-16t102041_cloudmask_10m.tif,87.55,28216,2598220.0,1079340.0,2839220.0,1303340.0
2025-06-16t100559,2025-06-16,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-06-16t100559/swisseo_s2-sr_v200_mosaic_2025-06-16t100559_cloudmask_10m.tif,91.19,1618,2800210.0,1116490.0,2839210.0,1215490.0
2025-06-15t103619,2025-06-15,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-06-15t103619/swisseo_s2-sr_v200_mosaic_2025-06-15t103619_cloudmask_10m.tif,87.08,3714,2480220.0,1104390.0,2569220.0,1267390.0
2025-06-14t101621,2025-06-14,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-06-14t101621/swisseo_s2-sr_v200_mosaic_2025-06-14t101621_cloudmask_10m.tif,81.49,20306,2596220.0,1073340.0,2839220.0,1301340.0
2025-06-13t100701,2025-06-13,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-06-13t100701/swisseo_s2-sr_v200_mosaic_2025-06-13t100701_cloudmask_10m.tif,64.53,173,2804210.0,1130490.0,2835210.0,1210490.0
2025-06-12t103701,2025-06-12,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-06-12t103701/swisseo_s2-sr_v200_mosaic_2025-06-12t103701_cloudmask_10m.tif,100.0,2166,2480220.0,1107390.0,2563220.0,1251390.0
2025-06-12t102559,2025-06-12,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-06-12t102559/swisseo_s2-sr_v200_mosaic_2025-06-12t102559_cloudmask_10m.tif,91.45,6688,2489610.0,1058190.0,2751610.0,1280190.0
2025-06-11t101041,2025-06-11,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-06-11t101041/swisseo_s2-sr_v200_mosaic_2025-06-11t101041_cloudmask_10m.tif,100.0,601,2809210.0,1156490.0,2839210.0,1197490.0
2025-06-10t103641,2025-06-10,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-06-10t103641/swisseo_s2-sr_v200_mosaic_2025-06-10t103641_cloudmask_10m.tif,99.99,1835,2489220.0,1136390.0,2569220.0,1267390.0
2025-06-09t102701,2025-06-09,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-06-09t102701/swisseo_s2-sr_v200_mosaic_2025-06-09t102701_cloudmask_10m.tif,77.97,2652,2479610.0,1058190.0,2753610.0,1303190.0
